,Time Series Workbook,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"6202.0 Labour Force, Australia",,,,,,,,,,,
,"Table 010. Labour force status by Sex, State and Territory - Trend, Seasonally adjusted and Original",,,,,,,,,,,
,,,,,,,,,,,,
,,,Enquiries,,,,,,,,,
,,,,,,,,,,,,
Data Item Description,,,Series Type,Series ID,Series Start,Series End,No. Obs.,Unit,Data Type,Freq.,Collection Month,
,,,,,,,,,,,,
Employed total ;  Persons ;  Australia ;,,,Trend,A84423127L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  Australia ;,,,Seasonally Adjusted,A84423043C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  Australia ;,,,Original,A84423085A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > New South Wales ;,,,Trend,A84423937R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > New South Wales ;,,,Seasonally Adjusted,A84423265K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > New South Wales ;,,,Original,A84423601K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Victoria ;,,,Trend,A84424021J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Victoria ;,,,Seasonally Adjusted,A84423349V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Victoria ;,,,Original,A84423685F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Queensland ;,,,Trend,A84423951K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Queensland ;,,,Seasonally Adjusted,A84423279X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Queensland ;,,,Original,A84423615X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > South Australia ;,,,Trend,A84424035W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > South Australia ;,,,Seasonally Adjusted,A84423363R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > South Australia ;,,,Original,A84423699V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Western Australia ;,,,Trend,A84423993J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Western Australia ;,,,Seasonally Adjusted,A84423321T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Western Australia ;,,,Original,A84423657W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Tasmania ;,,,Trend,A84423965X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Tasmania ;,,,Seasonally Adjusted,A84423293V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Tasmania ;,,,Original,A84423629L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Northern Territory ;,,,Trend,A84424007L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Northern Territory ;,,,Original,A84423671T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Australian Capital Territory ;,,,Trend,A84423979L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  Persons ;  > Australian Capital Territory ;,,,Original,A84423643J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  Australia ;,,,Trend,A84423113X,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  Australia ;,,,Seasonally Adjusted,A84423029J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  Australia ;,,,Original,A84423071L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > New South Wales ;,,,Trend,A84423825W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > New South Wales ;,,,Seasonally Adjusted,A84423153T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > New South Wales ;,,,Original,A84423489W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Victoria ;,,,Trend,A84423909F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Victoria ;,,,Seasonally Adjusted,A84423237A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Victoria ;,,,Original,A84423573L,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Queensland ;,,,Trend,A84423839K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Queensland ;,,,Seasonally Adjusted,A84423167F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Queensland ;,,,Original,A84423503F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > South Australia ;,,,Trend,A84423923A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > South Australia ;,,,Seasonally Adjusted,A84423251W,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > South Australia ;,,,Original,A84423587A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Western Australia ;,,,Trend,A84423881R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Western Australia ;,,,Seasonally Adjusted,A84423209T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Western Australia ;,,,Original,A84423545C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Tasmania ;,,,Trend,A84423853F,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Tasmania ;,,,Seasonally Adjusted,A84423181A,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Tasmania ;,,,Original,A84423517V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Northern Territory ;,,,Trend,A84423895C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Northern Territory ;,,,Original,A84423559T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Australian Capital Territory ;,,,Trend,A84423867V,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Males ;  > Australian Capital Territory ;,,,Original,A84423531R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  Australia ;,,,Trend,A84423141J,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  Australia ;,,,Seasonally Adjusted,A84423057T,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  Australia ;,,,Original,A84423099R,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > New South Wales ;,,,Trend,A84424049K,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
Employed total ;  > Females ;  > New South Wales ;,,,Seasonally Adjusted,A84423377C,Feb-1978,Apr-2026,579,000,STOCK,Month,1,
